t, acceleration, velocity
7.030000,0.218645,1.540470
7.040000,0.218644,1.542657
7.050000,0.218644,1.544843
7.060000,0.218643,1.547030
7.070000,0.218643,1.549216
7.080000,0.218642,1.551403
7.090000,0.218642,1.553589
7.100000,0.218641,1.555775
7.110000,0.218641,1.557962
7.120000,0.218641,1.560148
7.130000,0.218640,1.562335
7.140000,0.218640,1.564521
7.150000,0.218639,1.566707
7.160000,0.218639,1.568894
7.170000,0.218638,1.571080
7.180000,0.218638,1.573267
7.190000,0.218637,1.575453
7.200000,0.218637,1.577639
7.210000,0.218636,1.579826
7.220000,0.218636,1.582012
7.230000,0.218635,1.584198
7.240000,0.218635,1.586385
7.250000,0.218634,1.588571
7.260000,0.218634,1.590757
7.270000,0.218633,1.592944
7.280000,0.218633,1.595130
7.290000,0.218632,1.597316
7.300000,0.218632,1.599503
7.310000,0.218631,1.601689
7.320000,0.218631,1.603875
7.330000,0.218630,1.606062
7.340000,0.218630,1.608248
7.350000,0.218629,1.610434
7.360000,0.218629,1.612621
7.370000,0.218628,1.614807
7.380000,0.218628,1.616993
7.390000,0.218627,1.619179
7.400000,0.218627,1.621366
7.410000,0.218626,1.623552
7.420000,0.218626,1.625738
7.430000,0.218625,1.627924
7.440000,0.218625,1.630111
7.450000,0.218624,1.632297
7.460000,0.218624,1.634483
7.470000,0.218623,1.636669
7.480000,0.218623,1.638856
7.490000,0.218622,1.641042
7.500000,0.218622,1.643228
7.510000,0.218621,1.645414
7.520000,0.218621,1.647601
7.530000,0.218621,1.649787
7.540000,0.218620,1.651973
7.550000,0.218620,1.654159
7.560000,0.218619,1.656345
7.570000,0.218619,1.658532
7.580000,0.218618,1.660718
7.590000,0.218618,1.662904
7.600000,0.218617,1.665090
7.610000,0.218617,1.667276
7.620000,0.218616,1.669462
7.630000,0.218616,1.671649
7.640000,0.218615,1.673835
7.650000,0.218615,1.676021
7.660000,0.218614,1.678207
7.670000,0.218614,1.680393
7.680000,0.218613,1.682579
7.690000,0.218613,1.684766
7.700000,0.218612,1.686952
7.710000,0.218612,1.689138
7.720000,0.218611,1.691324
7.730000,0.218611,1.693510
7.740000,0.218610,1.695696
7.750000,0.218610,1.697882
7.760000,0.218609,1.700068
7.770000,0.218609,1.702254
7.780000,0.218608,1.704440
7.790000,0.218608,1.706627
7.800000,0.218607,1.708813
7.810000,0.218607,1.710999
7.820000,0.218606,1.713185
7.830000,0.218606,1.715371
7.840000,0.218605,1.717557
7.850000,0.218605,1.719743
